beated бил
becomed	становился
begined	начинал
bended гнул
bited кусал
blowed дул
breaked ломал
bringed приносил
builded строил
buied покупал
catched ловил
choosed выбирал
comed приходил
costed стоил
cuted резал
dealed распределял
diged копал
drawed рисовал
drinked пил
drived ездил
eated ел
falled падал
feed кормил
feeled чувствовал
fighted дрался
finded находил
flied летал
forgeted забывал
forgived прощал
freezed замерзл
geted получал
gived давал
growed рос
hanged вешал
haved имел
heared слышал
hided прятал
hited ударял
holded держал
hurted ранил
keeped хранил
knowed знал
laid клал
leaded сопровождал
leaved покидал
lened одалживал
leted позволял
